Keyword state,Keyword,Campaign,Ad group,Status,Max. CPC,Top of page CPC,First page CPC,Quality score,Clicks,Impressions,CTR,Avg. CPC,Cost,Avg. position,Converted clicks,Cost / converted click,Destination URL
enabled,sunriver oregon rentals,Sunriver / Search,Sunriver Rental / Broad Match,ad group paused,0.64,0.90,0.15,7,0,0,0.00%,0.00,0.00,0.0,0,0.00,
enabled,sunriver rentals,Sunriver / Search,Sunriver Rental / Broad Match,ad group paused,1.25,1.50,0.20,7,0,0,0.00%,0.00,0.00,0.0,0,0.00,http://www.discoversunriver.com/#NCK=gad14
enabled,sunriver or rental,Sunriver / Search,Sunriver Rental / Broad Match,ad group paused,0.42,0.15,0.05,7,0,0,0.00%,0.00,0.00,0.0,0,0.00,
enabled,sunriver rental,Sunriver / Search,Sunriver Rental / Broad Match,ad group paused,0.42,0.70,0.20,6,0,0,0.00%,0.00,0.00,0.0,0,0.00,
enabled,sunriver vacation rentals,Sunriver / Search,Sunriver Rental / Broad Match,ad group paused,0.70,2.00,0.25,7,0,0,0.00%,0.00,0.00,0.0,0,0.00,
enabled,sunriver vacation rental,Sunriver / Search,Sunriver Rental / Broad Match,ad group paused,0.42,1.25,0.20,6,0,0,0.00%,0.00,0.00,0.0,0,0.00,
enabled,sunriver condo rentals,Sunriver / Search,Sunriver Rental / Broad Match,ad group paused,0.42,1.25,0.30,6,0,0,0.00%,0.00,0.00,0.0,0,0.00,
enabled,sunriver oregon rental,Sunriver / Search,Sunriver Rental / Broad Match,ad group paused,0.42,0.55,0.20,6,0,0,0.00%,0.00,0.00,0.0,0,0.00,
enabled,sunriver oregon vacation rental,Sunriver / Search,Sunriver Rental / Broad Match,ad group paused,0.56,1.75,0.30,7,0,0,0.00%,0.00,0.00,0.0,0,0.00,
enabled